code,20-07-10_close,20-07-10_volume
2802,1721.5,1741100.0
3940,390.0,1728300.0
6967,1655.0,1711300.0
4911,6712.0,1705700.0
6981,6480.0,1704500.0
8766,4663.0,1698000.0
9726,1007.0,1694600.0
8219,608.0,1692200.0
7148,527.0,1685100.0
3048,1148.0,1681200.0
1808,1304.0,1679200.0
2371,2824.0,1671500.0
8572,374.0,1666400.0
5703,182.0,1662500.0
5713,3157.0,1644100.0
6701,5550.0,1637600.0
7351,1998.0,1635900.0
8252,1693.0,1631600.0
6937,1122.0,1615300.0
6952,1859.0,1612600.0
4568,8459.0,1597600.0
6619,711.0,1594900.0
1306,1583.0,1594290.0
6727,571.0,1593400.0
6366,264.0,1577500.0
9983,60280.0,1577400.0
9021,5389.0,1575000.0
4714,293.0,1575000.0
4507,6134.0,1568300.0
4680,706.0,1558000.0
9020,7116.0,1554200.0
4764,143.0,1533000.0
4912,2645.0,1523600.0
8035,29610.0,1520100.0
6753,1122.0,1516000.0
8698,217.0,1505400.0
6632,151.0,1481700.0
8697,2540.0,1466400.0
4344,272.0,1440600.0
8905,1238.0,1439200.0
6902,4071.0,1430400.0
1963,1094.0,1428800.0
9104,1911.0,1411000.0
4528,2910.0,1409900.0
8309,2907.5,1381100.0
6971,5637.0,1373400.0
1615,120.0,1355700.0
1812,1232.0,1352900.0
9101,1466.0,1329700.0
8616,230.0,1326500.0
3941,816.0,1322100.0
8836,31.0,1302800.0
4751,5980.0,1294400.0
8016,284.0,1290000.0
8011,577.0,1287300.0
3390,73.0,1283600.0
3064,4540.0,1274700.0
3003,940.0,1270500.0
8113,4873.0,1270400.0
4293,202.0,1263400.0
9506,1009.0,1259500.0
5202,360.0,1257000.0
5938,1471.0,1250700.0
3092,2584.0,1249900.0
4578,4446.0,1249300.0
3686,501.0,1243600.0
3405,1080.0,1233700.0
9684,5520.0,1232900.0
7238,163.0,1231700.0
5334,1424.0,1227900.0
7012,1487.0,1219500.0
4763,1307.0,1208400.0
8304,1824.0,1207200.0
3719,145.0,1203700.0
6502,3510.0,1203200.0
4202,764.0,1201700.0
6072,214.0,1199000.0
5201,2976.0,1179900.0
4588,2583.0,1175400.0
6594,6985.0,1173500.0
6762,10480.0,1168800.0
3782,286.0,1160000.0
